dim,rows,mode,dtype,round,method,median_ms
16,4096,hadamard,fp16,3,packed_pos_full,0.0052279625
16,4096,hadamard,fp16,3,original_kwrow,0.005792289
16,4096,hadamard,fp16,3,auto_kwrow,0.0058351555
16,4096,hadamard,fp16,3,packed_kwrow,0.0058326105
8,4096,hadamard_int4,fp16,3,original_pos3,0.0065599225
8,4096,hadamard_int4,fp16,3,original_pos_full,0.006654341
8,4096,hadamard_int4,fp16,3,auto_pos_full,0.0066813615
8,4096,hadamard_int4,fp16,3,packed_pos_full,0.006638834
8,4096,hadamard_int4,fp16,3,original_kwrow,0.0072349285
8,4096,hadamard_int4,fp16,3,auto_kwrow,0.007287315999999999
8,4096,hadamard_int4,fp16,3,packed_kwrow,0.0072679275
2,4096,hadamard,fp16,3,original_pos3,0.005158603
2,4096,hadamard,fp16,3,original_pos_full,0.005164991
2,4096,hadamard,fp16,3,auto_pos_full,0.0052158225
2,4096,hadamard,fp16,3,packed_pos_full,0.005161084
2,4096,hadamard,fp16,3,original_kwrow,0.005752542
2,4096,hadamard,fp16,3,auto_kwrow,0.005747031
2,4096,hadamard,fp16,3,packed_kwrow,0.0056761335
1,1,hadamard_int4,bf16,3,original_pos3,0.0067291785
1,1,hadamard_int4,bf16,3,original_pos_full,0.0066972805
1,1,hadamard_int4,bf16,3,auto_pos_full,0.0067031215
1,1,hadamard_int4,bf16,3,packed_pos_full,0.0066619515
1,1,hadamard_int4,bf16,3,original_kwrow,0.0072648185
1,1,hadamard_int4,bf16,3,auto_kwrow,0.00736981
1,1,hadamard_int4,bf16,3,packed_kwrow,0.0072404595
16,65,hadamard_int4,bf16,3,original_pos3,0.006648073
16,65,hadamard_int4,bf16,3,original_pos_full,0.0066597115
16,65,hadamard_int4,bf16,3,auto_pos_full,0.0066576275
16,65,hadamard_int4,bf16,3,packed_pos_full,0.006735141
16,65,hadamard_int4,bf16,3,original_kwrow,0.007371440999999999
16,65,hadamard_int4,bf16,3,auto_kwrow,0.0074139635
16,65,hadamard_int4,bf16,3,packed_kwrow,0.0073272235
1,1,hadamard_int4,fp16,3,original_pos3,0.0066764685
1,1,hadamard_int4,fp16,3,original_pos_full,0.0067814369999999995
1,1,hadamard_int4,fp16,3,auto_pos_full,0.006779113999999999
1,1,hadamard_int4,fp16,3,packed_pos_full,0.0067157735
1,1,hadamard_int4,fp16,3,original_kwrow,0.0072967794999999995
1,1,hadamard_int4,fp16,3,auto_kwrow,0.007278452
1,1,hadamard_int4,fp16,3,packed_kwrow,0.0073108485
16,4096,hadamard,bf16,3,original_pos3,0.0053878549999999996
16,4096,hadamard,bf16,3,original_pos_full,0.0053735680000000004
16,4096,hadamard,bf16,3,auto_pos_full,0.0054512915
16,4096,hadamard,bf16,3,packed_pos_full,0.0054427475
16,4096,hadamard,bf16,3,original_kwrow,0.0059172834999999995
16,4096,hadamard,bf16,3,auto_kwrow,0.005986875
16,4096,hadamard,bf16,3,packed_kwrow,0.005950688500000001
8,4096,hadamard_int4,bf16,3,original_pos3,0.0067732595
8,4096,hadamard_int4,bf16,3,original_pos_full,0.0067501
8,4096,hadamard_int4,bf16,3,auto_pos_full,0.0067861175
8,4096,hadamard_int4,bf16,3,packed_pos_full,0.006817838
8,4096,hadamard_int4,bf16,3,original_kwrow,0.007428519000000001
8,4096,hadamard_int4,bf16,3,auto_kwrow,0.00746633
8,4096,hadamard_int4,bf16,3,packed_kwrow,0.0074697775
