dim,rows,mode,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
8,16384,hadamard_int4,fp16,1.0,True,2,0.0033127501606941222,0.0032359998673200606,0.0014815500006079673,0.0032359998673200606,54.21662356757344
4,257,hadamard_int4,fp16,1.0,True,2,0.0012008000165224075,0.0011632000096142292,0.0010583999566733838,0.0011632000096142292,9.0096330875721
2,4095,hadamard,bf16,1.0,False,2,0.0015320000238716602,0.0013079999946057797,0.0015304000116884708,0.0015320000238716602,0.10443943591762483
2,2,hadamard_int4,bf16,1.0,True,2,0.0011056000366806984,0.0011024000123143196,0.0010343999601900578,0.0011024000123143196,6.168364601294418
2,4095,hadamard,fp16,1.0,False,2,0.0015287999995052814,0.0013079999946057797,0.0015296000055968761,0.0015287999995052814,-0.05232902223009095
8,16384,hadamard,bf16,1.0,True,2,0.0029711000621318816,0.002181600034236908,0.0013384000398218633,0.002181600034236908,38.65053085727439
4,256,hadamard_int4,fp16,1.0,True,2,0.0011760000139474868,0.001154400035738945,0.0009863750077784062,0.001154400035738945,14.55518215165197
16,4096,hadamard_int4,bf16,1.0,False,2,0.0018144000321626663,0.0016672000288963317,0.0018143249675631524,0.0018144000321626663,0.004137158189121415
1,1,hadamard_int4,bf16,1.0,True,2,0.0010784000158309936,0.0010743999853730201,0.0010152000002563,0.0010743999853730201,5.510050811864686
16,4096,hadamard,fp16,1.0,True,2,0.0015607999637722969,0.001337449997663498,0.001143999956548214,0.001337449997663498,14.46409521501647
