dim,rows,mode,dtype,round,comparison,baseline_ms,candidate_ms,reduction_percent
1,1,hadamard_int4,fp16,3,auto_vs_original_positional,0.0067814369999999995,0.006779113999999999,0.03425527657339167
1,1,hadamard_int4,fp16,3,auto_vs_original_keyword,0.0072967794999999995,0.007278452,0.2511724521756409
1,1,hadamard_int4,fp16,3,remove_keyword_auto,0.007278452,0.006779113999999999,6.860497259582132
1,1,hadamard_int4,fp16,3,original_keyword_vs_legacy,0.0066764685,0.0072967794999999995,-9.29100466811159
1,1,hadamard_int4,fp16,3,auto_positional_vs_legacy,0.0066764685,0.006779113999999999,-1.537422066770766
1,1,hadamard_int4,fp16,3,packed_vs_original_positional,0.0067814369999999995,0.0067157735,0.9682829760123024
16,4096,hadamard,bf16,3,auto_vs_original_positional,0.0053735680000000004,0.0054512915,-1.4464039535742268
16,4096,hadamard,bf16,3,auto_vs_original_keyword,0.0059172834999999995,0.005986875,-1.1760717565754808
16,4096,hadamard,bf16,3,remove_keyword_auto,0.005986875,0.0054512915,8.945960956258482
16,4096,hadamard,bf16,3,original_keyword_vs_legacy,0.0053878549999999996,0.0059172834999999995,-9.826331629191953
16,4096,hadamard,bf16,3,auto_positional_vs_legacy,0.0053878549999999996,0.0054512915,-1.1773980554413699
16,4096,hadamard,bf16,3,packed_vs_original_positional,0.0053735680000000004,0.0054427475,-1.2874034533479461
8,4096,hadamard_int4,bf16,3,auto_vs_original_positional,0.0067501,0.0067861175,-0.5335846876342476
8,4096,hadamard_int4,bf16,3,auto_vs_original_keyword,0.007428519000000001,0.00746633,-0.5089978231192394
8,4096,hadamard_int4,bf16,3,remove_keyword_auto,0.00746633,0.0067861175,9.110399620697185
8,4096,hadamard_int4,bf16,3,original_keyword_vs_legacy,0.0067732595,0.007428519000000001,-9.674212245965187
8,4096,hadamard_int4,bf16,3,auto_positional_vs_legacy,0.0067732595,0.0067861175,-0.1898347464762029
8,4096,hadamard_int4,bf16,3,packed_vs_original_positional,0.0067501,0.006817838,-1.0035110590954188
