partition,case_id,rows,n,dtype,scale,round,old_wmma_ms,four_warp_wmma_ms,warp128_ms,old_over_new,warp128_over_new,reduction_vs_old,reduction_vs_warp128
holdout,n32_m1_fp16_unit,1,32,fp16,unit,2,0.0019148799777030945,0.001966080069541931,0.0018636800348758697,0.9739582875428031,0.9479166508768286,-0.02673801618639904,-0.05494507251770919
holdout,n32_m1_fp16_unit,1,32,fp16,unit,3,0.0019251200556755065,0.001950240060687065,0.0018227200210094452,0.9871195318371684,0.9346131575039563,-0.013048539459916464,-0.06996139736644658
holdout,n32_m17_bf16_normalized,17,32,bf16,normalized,1,0.0023654399812221526,0.0024268800020217896,0.002007039934396744,0.9746835357543626,0.8270041916883881,-0.025974034973355264,-0.20918371400080638
holdout,n32_m17_bf16_normalized,17,32,bf16,normalized,2,0.002375680059194565,0.0024265599995851516,0.00187391996383667,0.9790320699264451,0.7722537106673802,-0.021417000236907624,-0.2949112269539007
holdout,n32_m17_bf16_normalized,17,32,bf16,normalized,3,0.002375360056757927,0.0024268800020217896,0.001884160041809082,0.9787711196182166,0.7763713245975996,-0.021689320369469023,-0.2880434507525238
holdout,n32_m17_bf16_unit,17,32,bf16,unit,1,0.0023654399812221526,0.002406399995088577,0.001964640021324158,0.9829787176072045,0.8164228828681666,-0.01731602331557003,-0.22485542845995532
holdout,n32_m17_bf16_unit,17,32,bf16,unit,2,0.002370399981737137,0.002406399995088577,0.0018636800348758697,0.9850398880381833,0.7744681011800242,-0.01518731590820277,-0.2912087644104935
holdout,n32_m17_bf16_unit,17,32,bf16,unit,3,0.0023654399812221526,0.002406399995088577,0.0018636800348758697,0.9829787176072045,0.7744681011800242,-0.01731602331557003,-0.2912087644104935
holdout,n32_m17_fp16_normalized,17,32,fp16,normalized,1,0.002222079932689667,0.00228255994617939,0.0020582400262355804,0.9735034282052675,0.901724412399647,-0.027217748830716593,-0.10898627812329531
holdout,n32_m17_fp16_normalized,17,32,fp16,normalized,2,0.002222079932689667,0.0022833599895238877,0.001955839991569519,0.9731623322142039,0.8565622593646913,-0.02757779138937,-0.16745746040888587
holdout,n32_m17_fp16_normalized,17,32,fp16,normalized,3,0.002222079932689667,0.0022732800245285033,0.001955839991569519,0.9774774373212312,0.8603603473686336,-0.02304151668246357,-0.16230368247263693
holdout,n32_m17_fp16_unit,17,32,fp16,unit,1,0.0022529599815607074,0.002303999960422516,0.00202687993645668,0.9778472310162503,0.8797222097542846,-0.022654631808618042,-0.13672246637868812
holdout,n32_m17_fp16_unit,17,32,fp16,unit,2,0.0022630399465560914,0.002303999960422516,0.0019249600172042847,0.9822222158984268,0.8354861329300016,-0.01809955406609487,-0.19690795644094972
holdout,n32_m17_fp16_unit,17,32,fp16,unit,3,0.0022630399465560914,0.002303999960422516,0.0019251200556755065,0.9822222158984268,0.8355555940732182,-0.01809955406609487,-0.1968084554675027
holdout,n32_m64_bf16_normalized,64,32,bf16,normalized,1,0.002220799997448921,0.0022630399465560914,0.0019763199985027313,0.9813348636768646,0.8733031873831072,-0.019020150016071824,-0.1450776940326366
holdout,n32_m64_bf16_normalized,64,32,bf16,normalized,2,0.002222079932689667,0.0022732800245285033,0.00187391996383667,0.9774774373212312,0.8243242995219369,-0.02304151668246357,-0.21311479059873095
holdout,n32_m64_bf16_normalized,64,32,bf16,normalized,3,0.002222079932689667,0.0022732800245285033,0.0018790400028228758,0.9774774373212312,0.8265765688996471,-0.02304151668246357,-0.20980927554142648
holdout,n32_m64_bf16_unit,64,32,bf16,unit,1,0.0022323200106620787,0.0022937600314617158,0.001996480002999306,0.9732142770137625,0.8703961947261911,-0.027522944965858498,-0.14890208167164554
holdout,n32_m64_bf16_unit,64,32,bf16,unit,2,0.002237759977579117,0.002295039966702461,0.0018943999707698822,0.9750418337134037,0.8254322357147345,-0.025597020992980557,-0.21148648760259392
holdout,n32_m64_bf16_unit,64,32,bf16,unit,3,0.0022323200106620787,0.0022937600314617158,0.0018943999707698822,0.9732142770137625,0.8258928330714097,-0.027522944965858498,-0.21081084610106604
holdout,n32_m64_fp16_normalized,64,32,fp16,normalized,1,0.002222079932689667,0.0022528000175952912,0.001966080069541931,0.9863635987812109,0.8727272967800249,-0.013824923421382085,-0.1458333017536575
holdout,n32_m64_fp16_normalized,64,32,fp16,normalized,2,0.0022320000082254408,0.0022528000175952912,0.00187391996383667,0.9907670413674565,0.8318181592687266,-0.009319000579389503,-0.20218582493934312
holdout,n32_m64_fp16_normalized,64,32,fp16,normalized,3,0.002222719937562943,0.0022528000175952912,0.001873759999871254,0.9866476918512914,0.8317471525374737,-0.013533005001668874,-0.20228845623243163
holdout,n32_m64_fp16_unit,64,32,fp16,unit,1,0.002406399995088577,0.002446559965610504,0.002027519941329956,0.9835851272454279,0.828722765772887,-0.01668881757143148,-0.20667615431968467
holdout,n32_m64_fp16_unit,64,32,fp16,unit,2,0.002406399995088577,0.0024473600089550017,0.0019249600172042847,0.9832635927217287,0.7865455062437763,-0.017021282392795545,-0.2713822557776677
holdout,n32_m64_fp16_unit,64,32,fp16,unit,3,0.002406399995088577,0.0024473600089550017,0.0019148799777030945,0.9832635927217287,0.7824267662691478,-0.017021282392795545,-0.27807488586862705
holdout,n32_m257_bf16_normalized,257,32,bf16,normalized,1,0.0022412799298763275,0.0022835199534893035,0.002007039934396744,0.9815022314351002,0.8789237559890433,-0.018846384625996526,-0.1377551160563535
holdout,n32_m257_bf16_normalized,257,32,bf16,normalized,2,0.002242559939622879,0.0022835199534893035,0.0019148799777030945,0.9820627738313229,0.8385650297371331,-0.0182648468576998,-0.19251335858051744
holdout,n32_m257_bf16_normalized,257,32,bf16,normalized,3,0.002242559939622879,0.0022835199534893035,0.0019251200556755065,0.9820627738313229,0.8430493689069156,-0.0182648468576998,-0.1861701543013834
holdout,n32_m257_bf16_unit,257,32,bf16,unit,1,0.002231199964880943,0.00228192001581192,0.0019968000054359438,0.9777730811862262,0.8750525836136597,-0.02273218524978038,-0.1427884663460468
holdout,n32_m257_bf16_unit,257,32,bf16,unit,2,0.0022323200106620787,0.0022732800245285033,0.001919040009379387,0.9819819760766516,0.8441722923146748,-0.01834862997723885,-0.18459230313998343
holdout,n32_m257_bf16_unit,257,32,bf16,unit,3,0.0022323200106620787,0.002273920029401779,0.0019353599846363067,0.9817055928960507,0.8511117187993016,-0.018635329406630374,-0.17493388695286827
holdout,n32_m257_fp16_normalized,257,32,fp16,normalized,1,0.0022118400037288667,0.0022732800245285033,0.002017280012369156,0.9729729641149776,0.8873873832536562,-0.027777787134719123,-0.12690355854896573
holdout,n32_m257_fp16_normalized,257,32,fp16,normalized,2,0.002212959975004196,0.0022732800245285033,0.0019198400527238846,0.9734656316540597,0.8445242257922339,-0.027257632404396714,-0.18409865514741974
holdout,n32_m257_fp16_normalized,257,32,fp16,normalized,3,0.0022124799340963366,0.002273599952459335,0.0019251200556755065,0.9731175142324904,0.8467276987726532,-0.027625117598168103,-0.18101722838347878
holdout,n32_m257_fp16_unit,257,32,fp16,unit,1,0.002242559939622879,0.0022732800245285033,0.0019456000626087188,0.9864864492829053,0.85585587416238,-0.013698668366826539,-0.16842102763937072
holdout,n32_m257_fp16_unit,257,32,fp16,unit,2,0.0022528000175952912,0.0022732800245285033,0.0018585599958896638,0.9909909880383259,0.817567556937973,-0.009090912097503123,-0.22314051177041483
holdout,n32_m257_fp16_unit,257,32,fp16,unit,3,0.0022518400102853773,0.0022732800245285033,0.0018636800348758697,0.9905686875300052,0.8198198263156833,-0.009521109024263508,-0.21978021011525994
holdout,n32_m4096_bf16_normalized,4096,32,bf16,normalized,1,0.0027852800488471986,0.002682879865169525,0.002007039934396744,1.0381680093123378,0.7480916161968825,0.036764771183442124,-0.33673467039205596
holdout,n32_m4096_bf16_normalized,4096,32,bf16,normalized,2,0.0027852800488471986,0.002682879865169525,0.0019968000054359438,1.0381680093123378,0.7442748485906471,0.036764771183442124,-0.3435896724087777
holdout,n32_m4096_bf16_normalized,4096,32,bf16,normalized,3,0.0027843199670314787,0.002682879865169525,0.002006719931960106,1.03781015437139,0.7479723404735106,0.03643263097024896,-0.336947833347609
holdout,n32_m4096_bf16_unit,4096,32,bf16,unit,1,0.002754560112953186,0.0026665599644184112,0.0019763199985027313,1.033001376195929,0.7411496553139676,0.03194707863551727,-0.3492551643653907
holdout,n32_m4096_bf16_unit,4096,32,bf16,unit,2,0.002754560112953186,0.002672640085220337,0.001971839964389801,1.0306513503953882,0.7377873194726252,0.029739785800144358,-0.3554041572777449
holdout,n32_m4096_bf16_unit,4096,32,bf16,unit,3,0.002754560112953186,0.002672640085220337,0.0019763199985027313,1.0306513503953882,0.7394635773936618,0.029739785800144358,-0.3523316503628666
holdout,n32_m4096_fp16_normalized,4096,32,fp16,normalized,1,0.002764799892902374,0.002682879865169525,0.002007039934396744,1.030534363016539,0.7480916161968825,0.029629640808055968,-0.33673467039205596
