run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,contiguous256,5,11.348959922790527,1280,8.8663749396801,0.0088663749396801
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,dao,1,12.323840141296387,1280,9.628000110387802,0.009628000110387802
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,dao,2,12.322815895080566,1280,9.627199918031693,0.009627199918031692
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,dao,3,12.326848030090332,1280,9.630350023508072,0.009630350023508072
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,dao,4,12.322688102722168,1280,9.627100080251694,0.009627100080251694
1,bf16,256,16384,False,"[16384, 256]",1.0,transform,cuda_graph,dao,5,12.321791648864746,1280,9.626399725675583,0.009626399725675583
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,original,1,10.904576301574707,1280,8.51920023560524,0.00851920023560524
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,original,2,10.897407531738281,1280,8.513599634170532,0.008513599634170532
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,original,3,11.075584411621094,1280,8.65280032157898,0.00865280032157898
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,original,4,11.45139217376709,1280,8.946400135755539,0.008946400135755539
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,original,5,11.460607528686523,1280,8.953599631786346,0.008953599631786347
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,9.359359741210938,1280,7.311999797821045,0.007311999797821045
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,9.3602876663208,1280,7.312724739313126,0.007312724739313126
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,9.400320053100586,1280,7.344000041484833,0.007344000041484833
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,9.84985637664795,1280,7.69520029425621,0.007695200294256211
1,bf16,256,16384,False,"[16384, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,9.866239547729492,1280,7.707999646663666,0.007707999646663665
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,original,1,1.8647040128707886,1280,1.4568000100553036,0.0014568000100553037
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,original,2,1.8595839738845825,1280,1.45279997959733,0.0014527999795973302
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,original,3,1.8606079816818237,1280,1.4535999856889248,0.0014535999856889249
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,original,4,1.8595839738845825,1280,1.45279997959733,0.0014527999795973302
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,original,5,1.861631989479065,1280,1.4543999917805195,0.0014543999917805196
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,1.7469439506530762,1280,1.3647999614477158,0.0013647999614477158
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.7489919662475586,1280,1.3663999736309052,0.0013663999736309052
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.745919942855835,1280,1.363999955356121,0.001363999955356121
1,bf16,256,64,False,"[64, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.745919942855835,1280,1.363999955356121,0.001363999955356121
