dtype,M,N,method,round,category,block_dim,off_median_ms,on_median_ms,off_over_on_ratio,latency_reduction_pct,improvement_ge5pct,regression_ge5pct
bf16,16384,64,scalar_fused,1,control,32,5.04217185974,5.01038818359,1.0063435556259088,0.6303568587929649,False,False
bf16,16384,64,vector_fused,1,vector_path,32,2.88537998199,2.14399604797,1.3457953827489395,25.694499117883236,True,False
bf16,16384,64,quant_only,1,control,32,1.77648792267,1.77381191254,1.0015086211289268,0.1506348619571881,False,False
bf16,16384,128,scalar_transform,1,control,32,7.79492416382,7.66143188477,1.017423933418421,1.7125539164268253,False,False
bf16,16384,128,vector_transform,1,vector_path,32,2.16639194489,0.624535989761,3.4688024075586803,71.17160672452965,True,False
bf16,16384,128,scalar_split,1,control,32,11.1498756409,11.0151000977,1.0122355259602354,1.2087627480401306,False,False
bf16,16384,128,vector_split,1,vector_path,32,5.51993598938,3.97795600891,1.387631229962374,27.934743870883104,True,False
bf16,16384,128,scalar_fused,1,control,32,10.5323318481,10.4772880554,1.0052536297951291,0.5226173414762763,False,False
bf16,16384,128,vector_fused,1,vector_path,32,5.2602519989,3.78406410217,1.390106472002805,28.06306422275385,True,False
bf16,16384,128,quant_only,1,control,32,3.35536384583,3.35419998169,1.000346987104631,0.03468667463430115,False,False
bf16,16384,256,scalar_transform,1,control,32,16.9182479858,16.6288116455,1.0174057140384007,1.7107938159018163,False,False
bf16,16384,256,vector_transform,1,vector_path,32,3.87956008911,0.818023967743,4.742599535089475,78.91451739491782,True,False
bf16,16384,256,scalar_split,1,control,32,23.4135955811,23.1253677368,1.0124637085810029,1.2310276877450805,False,False
bf16,16384,256,vector_split,1,vector_path,32,10.373475647,7.31481170654,1.4181466404289425,29.485430385567668,True,False
bf16,16384,256,scalar_fused,1,control,32,22.2724761963,22.1695800781,1.0046413201259343,0.46198777941490793,False,False
bf16,16384,256,vector_fused,1,vector_path,32,10.0610717773,7.11498413086,1.414068055845952,29.282045806362543,True,False
bf16,16384,256,quant_only,1,control,32,6.49591598511,6.4963722229,0.9999297703742418,-0.0070234558304897625,False,False
fp16,1,16,scalar_transform,2,control,32,0.00713199973106,0.00728000029922,0.9796702524619597,-2.075162279037324,False,False
