variant,round,dtype,M,N,block_dim,operation,scalar_median_ms,vector_median_ms,scalar_over_vector_ratio,latency_reduction_pct
old,2,fp16,17,128,32,fused,0.0260960012674,0.0246560007334,1.0584036539246737,5.518088841445967
old,2,fp16,17,256,32,transform,0.0388480007648,0.0334760010242,1.1604731621532856,13.82825276678728
old,2,fp16,17,256,32,split,0.0570240020752,0.0518159985542,1.1005095658930975,9.133002475224353
old,2,fp16,17,256,32,fused,0.0498199999332,0.0460440009832,1.0820084890402495,7.57928333011433
old,2,fp16,257,16,32,transform,0.0189319998026,0.0153880000114,1.230309318207335,18.71962723511802
old,2,fp16,257,16,32,split,0.0342759996653,0.0311239987612,1.1012723631138737,9.195941576843317
old,2,fp16,257,16,32,fused,0.0260159999132,0.0228080004454,1.1406523765851206,12.330871304209703
old,2,fp16,257,64,32,transform,0.0663640022278,0.030096000433,2.205077128954067,54.6501123761449
old,2,fp16,257,64,32,split,0.100240004063,0.0641600012779,1.5623441718591082,35.99361664273679
old,2,fp16,257,64,32,fused,0.0916519999504,0.0581200003624,1.576944242582853,36.586217001425794
old,2,fp16,257,128,32,transform,0.140315997601,0.0501720011234,2.7966992437851403,64.24356311383097
old,2,fp16,257,128,32,split,0.202203989029,0.112251996994,1.8013397929999235,44.48576532389731
old,2,fp16,257,128,32,fused,0.188675999641,0.105055999756,1.7959564430324149,44.31936231640829
old,2,fp16,257,256,32,transform,0.301448011398,0.0920319974422,3.2754696168288873,69.47002668374192
old,2,fp16,257,256,32,split,0.419479990005,0.210247993469,1.9951676260199374,49.87889804553158
old,2,fp16,257,256,32,fused,0.395767998695,0.201155996323,1.9674680642356186,49.17325377840325
old,2,fp16,4096,16,32,transform,0.229047989845,0.164227998257,1.3946951328394284,28.299742613704932
old,2,fp16,4096,16,32,split,0.391283988953,0.326552009583,1.1982286970233664,16.543477677992954
old,2,fp16,4096,16,32,fused,0.327239990234,0.271691989899,1.2044521090064144,16.97469807870341
old,2,fp16,4096,64,32,transform,0.907528018951,0.334179997444,2.715686234640894,63.17689476626028
old,2,fp16,4096,64,32,split,1.3557559967,0.782539987564,1.7325069878159032,42.28017508543173
old,2,fp16,4096,64,32,fused,1.26224002838,0.728367996216,1.7329701949255858,42.29560306760266
old,2,fp16,4096,128,32,transform,1.95352401733,0.552415990829,3.536327785150434,71.72207836051994
old,2,fp16,4096,128,32,split,2.79720401764,1.39646396637,2.0030620803708348,50.076434984238425
old,2,fp16,4096,128,32,fused,2.63512001038,1.32527999878,1.9883496414386295,49.70703445916732
old,2,fp16,4096,256,32,transform,4.23562393188,0.989995956421,4.278425486900456,76.6269156010367
old,2,fp16,4096,256,32,split,5.86692810059,2.62168807983,2.23784368008052,55.31412632163749
