variant,round,dtype,M,N,method,block_dim,groups,median_ms,median_us,min_group_ms,max_group_ms
new,1,bf16,17,16,scalar_transform,32,5,0.00732399970293,7.32399970293,0.00638400018215,0.00884800031781
new,1,bf16,17,16,vector_fused,32,5,0.00801599994302,8.01599994302,0.0079120002687,0.00806000009179
new,1,bf16,17,16,vector_split,32,5,0.0130280002952,13.0280002952,0.0129480004311,0.0136800006032
new,1,bf16,17,16,vector_transform,32,5,0.00740000009537,7.40000009537,0.00730800032616,0.00750799998641
new,1,bf16,17,64,quant_only,32,5,0.00938400030136,9.38400030136,0.00935999974608,0.00957200005651
new,1,bf16,17,64,scalar_fused,32,5,0.0150120005012,15.0120005012,0.0148919999599,0.015107999742
new,1,bf16,17,64,scalar_split,32,5,0.0195319995284,19.5319995284,0.0193599998951,0.0197080001235
new,1,bf16,17,64,scalar_transform,32,5,0.0119439996779,11.9439996779,0.0116959996521,0.0135480001569
new,1,bf16,17,64,vector_fused,32,5,0.0132719993591,13.2719993591,0.0132159993052,0.0135879993439
new,1,bf16,17,64,vector_split,32,5,0.018452000618,18.452000618,0.0182559996843,0.0187279999256
new,1,bf16,17,64,vector_transform,32,5,0.0105559997261,10.5559997261,0.010475999862,0.0107519999146
new,1,bf16,17,128,quant_only,32,5,0.0121919997036,12.1919997036,0.0121160000563,0.0137679994106
new,1,bf16,17,128,scalar_fused,32,5,0.0276840001345,27.6840001345,0.0261040002108,0.0278160005808
new,1,bf16,17,128,scalar_split,32,5,0.0328079998493,32.8079998493,0.0312480002642,0.032947999239
new,1,bf16,17,128,scalar_transform,32,5,0.0217920005322,21.7920005322,0.0202319994569,0.0223039999604
new,1,bf16,17,128,vector_fused,32,5,0.0235080003738,23.5080003738,0.0219280004501,0.0235520005226
new,1,bf16,17,128,vector_split,32,5,0.0288560003042,28.8560003042,0.0287319988012,0.0288879990578
new,1,bf16,17,128,vector_transform,32,5,0.0160840004683,16.0840004683,0.0156839996576,0.0172480002046
new,1,bf16,17,256,quant_only,32,5,0.0190119996667,19.0119996667,0.018979999423,0.0190559998155
new,1,bf16,17,256,scalar_fused,32,5,0.0497880011797,49.7880011797,0.0496479988098,0.0498879998922
new,1,bf16,17,256,scalar_split,32,5,0.056547999382,56.547999382,0.0563799977303,0.0566640019417
new,1,bf16,17,256,scalar_transform,32,5,0.0386079996824,38.6079996824,0.0384440004826,0.0404799997807
new,1,bf16,17,256,vector_fused,32,5,0.0403640002012,40.3640002012,0.0403039991856,0.040476000309
new,1,bf16,17,256,vector_split,32,5,0.0460399985313,46.0399985313,0.0458799988031,0.046167999506
new,1,bf16,17,256,vector_transform,32,5,0.0276120007038,27.6120007038,0.0274679988623,0.0282319992781
new,1,bf16,257,16,quant_only,32,5,0.016859999299,16.859999299,0.0166920006275,0.0169200003147
new,1,bf16,257,16,scalar_fused,32,5,0.0264120012522,26.4120012522,0.0263240009546,0.0268159985542
new,1,bf16,257,16,scalar_split,32,5,0.0352279990911,35.2279990911,0.0351680010557,0.0354079991579
new,1,bf16,257,16,scalar_transform,32,5,0.0193839997053,19.3839997053,0.0193360000849,0.0198440000415
new,1,bf16,257,16,vector_fused,32,5,0.0204480007291,20.4480007291,0.0203759998083,0.0205840006471
new,1,bf16,257,16,vector_split,32,5,0.0288159996271,28.8159996271,0.0287600010633,0.0289319992065
new,1,bf16,257,16,vector_transform,32,5,0.0126120001078,12.6120001078,0.0125520005822,0.0129840001464
new,1,bf16,257,64,quant_only,32,5,0.034580001235,34.580001235,0.0345319986343,0.0347400009632
new,1,bf16,257,64,scalar_fused,32,5,0.0914879977703,91.4879977703,0.0913959980011,0.0918120026588
new,1,bf16,257,64,scalar_split,32,5,0.099143999815,99.143999815,0.0990679979324,0.0993279993534
new,1,bf16,257,64,scalar_transform,32,5,0.0651880025864,65.1880025864,0.0651080012321,0.0655200004578
new,1,bf16,257,64,vector_fused,32,5,0.0451840013266,45.1840013266,0.0449840009212,0.045311999321
new,1,bf16,257,64,vector_split,32,5,0.0515959978104,51.5959978104,0.0513999998569,0.0518079996109
new,1,bf16,257,64,vector_transform,32,5,0.0175439998507,17.5439998507,0.0174360007048,0.017919999361
new,1,bf16,257,128,quant_only,32,5,0.0620959997177,62.0959997177,0.0619920015335,0.0626999974251
new,1,bf16,257,128,scalar_fused,32,5,0.187888002396,187.888002396,0.187580001354,0.187955999374
new,1,bf16,257,128,scalar_split,32,5,0.199551999569,199.551999569,0.199316000938,0.199787998199
new,1,bf16,257,128,scalar_transform,32,5,0.137880003452,137.880003452,0.137759995461,0.138067996502
new,1,bf16,257,128,vector_fused,32,5,0.0788119971752,78.8119971752,0.0786719977856,0.0791119992733
new,1,bf16,257,128,vector_split,32,5,0.085923999548,85.923999548,0.0857280015945,0.0862919986248
new,1,bf16,257,128,vector_transform,32,5,0.0242520004511,24.2520004511,0.0241119995713,0.0245320007205
