variant,round,dtype,M,N,block_dim,vector_split_median_ms,vector_fused_median_ms,split_over_fused_ratio,latency_reduction_pct
new,2,fp16,1,128,32,0.0250279992819,0.0205119997263,1.220163787824631,18.043789696230036
new,2,fp16,1,256,32,0.04451200068,0.039291998744,1.132851524556182,11.727178864699809
new,2,fp16,17,16,32,0.0131119996309,0.00803200006485,1.6324700603877387,38.74313383961949
new,2,fp16,17,64,32,0.0188319995999,0.0133039996028,1.4155141432758733,29.35429117749851
new,2,fp16,17,128,32,0.0266519993544,0.0217079997063,1.2277501250686482,18.55020174043263
new,2,fp16,17,256,32,0.0459679991007,0.0403880000114,1.1381598268724615,12.138877476646636
new,2,fp16,257,16,32,0.028248000145,0.0201959997416,1.3986928355328891,28.504674178944434
new,2,fp16,257,64,32,0.0514800012112,0.0449279993773,1.1458333761732202,12.727275990184989
new,2,fp16,257,128,32,0.0865559995174,0.0790080010891,1.095534608194781,8.720364238625265
new,2,fp16,257,256,32,0.158039999008,0.149487996101,1.0572086263115197,5.411290154821566
new,2,fp16,4096,16,32,0.274004006386,0.224659991264,1.2196386407939248,18.008501325519735
new,2,fp16,4096,64,32,0.584187984467,0.544320011139,1.0732436296886745,6.82451101153248
new,2,fp16,4096,128,32,1.00772399902,0.957847976685,1.0520709168354827,4.94937327914229
new,2,fp16,4096,256,32,1.85061607361,1.79768390656,1.02944464644582,2.8602457205910325
new,2,fp16,16384,16,32,1.03565998077,0.870471954346,1.189768349915545,15.950025055635036
new,2,fp16,16384,64,32,2.29046001434,2.14568405151,1.0674731038468201,6.320824721828522
new,2,fp16,16384,128,32,3.97612380981,3.78391609192,1.0507959778231952,4.834047607264633
new,2,fp16,16384,256,32,7.30270004272,7.10585174561,1.0277022803398077,2.695555013330121
new,2,bf16,1,16,32,0.0127399995923,0.00768000036478,1.6588540347894827,39.71742063930867
new,2,bf16,1,64,32,0.0168200001121,0.0122079998255,1.3777850878541529,27.419739927838716
new,2,bf16,1,128,32,0.0245759993792,0.020340000093,1.2082595509750178,17.236325655937126
new,2,bf16,1,256,32,0.0449479997158,0.039359998703,1.1419715751254353,12.4321461425028
new,2,bf16,17,16,32,0.0130439996719,0.00805199965835,1.6199702217291139,38.27047024774159
new,2,bf16,17,64,32,0.0187040001154,0.0135959997773,1.3756987659435214,27.309668020662127
new,2,bf16,17,128,32,0.0266799986362,0.0217720001936,1.22542708060616,18.39579720195608
new,2,bf16,17,256,32,0.0460040003061,0.0404559999704,1.1371366506762717,12.059821534616306
new,2,bf16,257,16,32,0.028316000104,0.0202079996467,1.4012272663823038,28.63398936121151
new,2,bf16,257,64,32,0.0516439974308,0.0450080007315,1.147440379298066,12.849502419311856
new,2,bf16,257,128,32,0.0859759986401,0.0788399994373,1.090512420772848,8.299989899124832
new,2,bf16,257,256,32,0.158355998993,0.149728000164,1.057624484528943,5.448482459689701
new,2,bf16,4096,16,32,0.273399996758,0.22469599247,1.21675510876992,17.81419344021073
new,2,bf16,4096,64,32,0.584643983841,0.543792009354,1.0751242640279512,6.987495914797642
new,2,bf16,4096,128,32,1.00927600861,0.958123970032,1.0533877036562311,5.068191271924511
new,2,bf16,4096,256,32,1.85301990509,1.79928798676,1.0298628783859973,2.8996946110727446
new,2,bf16,16384,16,32,1.03599996567,0.869703960419,1.1912098976425072,16.051738490498252
new,2,bf16,16384,64,32,2.29262008667,2.14411201477,1.0692632058758975,6.477657277953357
new,2,bf16,16384,128,32,3.98242797852,3.78386802673,1.0524753903643924,4.985901888520566
new,2,bf16,16384,256,32,7.3115562439,7.1131439209,1.0278937591037658,2.713681142308587
new,3,fp16,1,16,32,0.0130280002952,0.00744400024414,1.7501343186354388,42.86152843516094
new,3,fp16,1,64,32,0.0164199993014,0.0120039999485,1.3678773218798468,26.894028871995644
new,3,fp16,1,128,32,0.0251199990511,0.0207800000906,1.2088546170152923,17.27706657819301
new,3,fp16,1,256,32,0.0437720000744,0.0389319986105,1.1243193680427863,11.057300227710334
