gpu,sm,cuda_runtime,seed,mode,rows,dim,dtype,scale,threads,group,order,captured_calls,replays,mean_us,check_status
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,32,2,2,64,20,2.931199968,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,64,2,3,64,20,1.98710002,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,128,2,0,64,20,1.504800003,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,256,2,1,64,20,1.280799974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,32,3,3,64,20,2.930399962,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,64,3,2,64,20,1.986400038,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,128,3,1,64,20,1.504800003,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,256,3,0,64,20,1.282399986,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,32,4,0,64,20,2.931150049,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,64,4,1,64,20,1.985600032,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,128,4,2,64,20,1.504800003,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,transform,4096,16,fp16,1,256,4,3,64,20,1.280799974,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,32,0,0,64,20,3.178400174,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,64,0,1,64,20,2.21677497,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,128,0,2,64,20,1.766300015,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,256,0,3,64,20,1.602274925,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,32,1,1,64,20,3.180000186,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,64,1,0,64,20,2.218274958,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,128,1,3,64,20,1.765600033,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,256,1,2,64,20,1.602399908,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,32,2,2,64,20,3.180000186,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,64,2,3,64,20,2.217599936,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,128,2,0,64,20,1.766300015,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,256,2,1,64,20,1.602399908,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,32,3,3,64,20,3.180800006,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,64,3,2,64,20,2.218399942,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,128,3,1,64,20,1.765600033,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,256,3,0,64,20,1.601600088,PASS
"NVIDIA GeForce RTX 4090",89,12080,20265017,fused_int4,4096,16,fp16,1,32,4,0,64,20,3.179125115,PASS
