mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,8,16384,bf16,1.0,True,3,0.0029360000044107437,0.0021560000255703925,0.0013126499950885772,0.0021560000255703925,39.116420244879095
hadamard_int4,64,65,bf16,1.0,False,3,0.0010910999961197376,0.0011152000166475772,0.0010904000140726567,0.0010910999961197376,0.06415379429660639
hadamard_int4,1,1,fp16,1.0,True,3,0.001080700010061264,0.0010768000036478042,0.0010160000063478946,0.0010768000036478042,5.646359314073313
hadamard_int4,64,65,fp16,1.0,False,3,0.0010983999818563461,0.0011152000166475772,0.0010975999757647514,0.0010983999818563461,0.07283376773574712
hadamard,8,16384,fp16,1.0,True,3,0.0029440000653266907,0.0021592000499367713,0.0013086999766528606,0.0021592000499367713,39.389591219619334
hadamard_int4,16,4096,bf16,1.0,False,3,0.0018007999286055564,0.0016551999375224113,0.001793600060045719,0.0018007999286055564,0.39981501806325426
hadamard,1,4096,bf16,1.0,True,3,0.0014919999986886979,0.0012776000425219537,0.0008711749687790871,0.0012776000425219537,31.81160458797361
hadamard_int4,4,16384,fp16,1.0,True,3,0.003221524879336357,0.00311840008944273,0.0013016000390052795,0.00311840008944273,58.26064643174506
hadamard,4,4096,bf16,1.0,True,3,0.001518400013446808,0.0013063999824225903,0.0009342500008642674,0.0013063999824225903,28.48667992693994
hadamard_int4,1,1,bf16,1.0,True,3,0.001063199993222952,0.0010607000440359116,0.0009991999715566636,0.0010607000440359116,5.798064478742104
hadamard_int4,1,16384,bf16,1.0,True,3,0.003151199966669083,0.0029255999252200127,0.0009871999733150004,0.0029255999252200127,66.2564944439298
hadamard,1,16384,bf16,1.0,True,3,0.002922400087118149,0.002077599987387657,0.0009112000465393066,0.002077599987387657,56.14169945750549
hadamard,4,4097,bf16,1.0,True,3,0.0015192000195384026,0.001307199988514185,0.0009544000029563903,0.001307199988514185,26.988983220448226
