mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,4,16384,bf16,1.0,True,3,0.0029343999922275543,0.002125599980354309,0.0011134499683976174,0.002125599980354309,47.6171443974129
hadamard,16,4097,fp16,1.0,True,3,0.0015424000099301337,0.0013207999989390373,0.0011447999626398087,0.0013207999989390373,13.325260178725372
hadamard_int4,4,257,fp16,1.0,True,3,0.0011912000365555287,0.0011447999626398087,0.0010367999784648418,0.0011447999626398087,9.433961189684902
hadamard,32,17,bf16,1.0,False,3,0.0009038499556481838,0.0009080000221729278,0.0009039999917149544,0.0009038499556481838,-0.01659966522462586
hadamard_int4,4,4096,bf16,1.0,True,3,0.0017791999503970145,0.0016087999567389489,0.001107999961823225,0.0016087999567389489,31.128792166979522
hadamard_int4,4,16384,bf16,1.0,True,3,0.0032368000596761704,0.003123899921774864,0.0013144000433385373,0.003123899921774864,57.924386944132564
hadamard_int4,4,256,fp16,1.0,True,3,0.0011695999652147292,0.001152000017464161,0.0009759999811649323,0.001152000017464161,15.27778069714344
hadamard,1,4097,bf16,1.0,True,3,0.001496800035238266,0.0012751000002026557,0.0008591500110924244,0.0012751000002026557,32.62097004502573
hadamard_int4,8,64,fp16,1.0,True,3,0.001130400039255619,0.001144775003194809,0.000991200003772974,0.001130400039255619,12.314227764385944
hadamard,2,4096,fp16,1.0,True,3,0.0015151250176131726,0.0012886499986052512,0.0008919999934732914,0.0012886499986052512,30.780274361639492
hadamard,8,4097,fp16,1.0,True,3,0.0015239999629557133,0.001321600005030632,0.001024799980223179,0.001321600005030632,22.457628910237027
hadamard_int4,16,4096,fp16,1.0,False,3,0.0017967499792575837,0.0016335999593138696,0.001793600060045719,0.0017967499792575837,0.17531204943528333
hadamard_int4,8,16384,fp16,1.0,True,3,0.0032655999064445497,0.003194399923086166,0.0014576000161468984,0.003194399923086166,54.370146154440015
hadamard,1,4096,fp16,1.0,True,3,0.0014960000291466713,0.001272675022482872,0.0008584000170230865,0.001272675022482872,32.551515362623604
hadamard_int4,4,257,bf16,1.0,True,3,0.0011839999817311764,0.0011367999948561191,0.0010630750097334386,0.0011367999948561191,6.485308361741482
hadamard,2,4097,bf16,1.0,True,3,0.001518400013446808,0.0012968000024557113,0.0009056000038981437,0.0012968000024557113,30.166563681119975
