phase,run_index,dtype,dim,rows,normalized,shape,scale,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,dao,1,3.0074880123138428,200,15.037440061569214,0.015037440061569214
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,dao,2,2.9879040718078613,200,14.939520359039307,0.014939520359039307
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,dao,3,2.9972479343414307,200,14.986239671707153,0.014986239671707154
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,dao,4,3.003391981124878,200,15.01695990562439,0.01501695990562439
screen,3,bf16,256,64,False,"[64, 256]",1.0,eager,dao,5,2.9624319076538086,200,14.812159538269043,0.014812159538269042
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread32,1,1.4888639450073242,1280,1.163174957036972,0.0011631749570369721
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread32,2,1.4878720045089722,1280,1.1624000035226345,0.0011624000035226345
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread32,3,1.4888960123062134,1280,1.1632000096142292,0.0011632000096142292
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread32,4,1.4878720045089722,1280,1.1624000035226345,0.0011624000035226345
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread32,5,1.4877439737319946,1280,1.1622999794781208,0.0011622999794781209
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread64,1,1.4632960557937622,1280,1.1432000435888767,0.0011432000435888767
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread64,2,1.462272047996521,1280,1.142400037497282,0.001142400037497282
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread64,3,1.462272047996521,1280,1.142400037497282,0.001142400037497282
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread64,4,1.4621119499206543,1280,1.1422749608755112,0.001142274960875511
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread64,5,1.4632960557937622,1280,1.1432000435888767,0.0011432000435888767
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread128,1,1.5062400102615356,1280,1.1767500080168247,0.0011767500080168247
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread128,2,1.5011839866638184,1280,1.172799989581108,0.001172799989581108
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread128,3,1.5011839866638184,1280,1.172799989581108,0.001172799989581108
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread128,4,1.5022079944610596,1280,1.1735999956727028,0.0011735999956727027
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread128,5,1.5011839866638184,1280,1.172799989581108,0.001172799989581108
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread256,1,1.6977920532226562,1280,1.3264000415802002,0.0013264000415802002
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread256,2,1.6957440376281738,1280,1.3248000293970108,0.0013248000293970108
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread256,3,1.6955840587615967,1280,1.3246750459074974,0.0013246750459074974
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread256,4,1.6957440376281738,1280,1.3248000293970108,0.0013248000293970108
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,thread256,5,1.6957440376281738,1280,1.3248000293970108,0.0013248000293970108
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,dao,1,1.4315520524978638,1280,1.118400041013956,0.001118400041013956
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,dao,2,1.4325759410858154,1280,1.1191999539732933,0.0011191999539732933
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,dao,3,1.4315520524978638,1280,1.118400041013956,0.001118400041013956
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,dao,4,1.4325759410858154,1280,1.1191999539732933,0.0011191999539732933
screen,3,bf16,256,64,True,"[64, 256]",0.0625,graph,dao,5,1.4428160190582275,1280,1.1272000148892403,0.0011272000148892403
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread32,1,1.3517760038375854,200,6.758880019187927,0.006758880019187927
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread32,2,1.3435519933700562,200,6.717759966850281,0.006717759966850281
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread32,3,1.3220479488372803,200,6.610239744186401,0.006610239744186401
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread32,4,1.3393919467926025,200,6.696959733963013,0.0066969597339630125
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread32,5,1.3424639701843262,200,6.712319850921631,0.0067123198509216305
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread64,1,1.5923839807510376,200,7.961919903755188,0.007961919903755188
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread64,2,1.3354239463806152,200,6.677119731903076,0.006677119731903076
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread64,3,1.3271039724349976,200,6.635519862174988,0.006635519862174988
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread64,4,1.3158400058746338,200,6.579200029373169,0.006579200029373169
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread64,5,1.30457603931427,200,6.52288019657135,0.00652288019657135
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread128,1,1.3445119857788086,200,6.722559928894043,0.006722559928894043
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread128,2,1.3424639701843262,200,6.712319850921631,0.0067123198509216305
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread128,3,1.3455359935760498,200,6.727679967880249,0.006727679967880249
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread128,4,1.3281279802322388,200,6.640639901161194,0.006640639901161194
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread128,5,1.334272027015686,200,6.67136013507843,0.0066713601350784305
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread256,1,2.7637760639190674,200,13.818880319595337,0.013818880319595337
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread256,2,1.3445119857788086,200,6.722559928894043,0.006722559928894043
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread256,3,1.3168959617614746,200,6.584479808807373,0.006584479808807373
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread256,4,1.3670079708099365,200,6.835039854049683,0.006835039854049683
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,thread256,5,1.324031949043274,200,6.62015974521637,0.00662015974521637
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,dao,1,2.9942400455474854,200,14.971200227737427,0.014971200227737427
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,dao,2,2.964479923248291,200,14.822399616241455,0.014822399616241455
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,dao,3,2.9900801181793213,200,14.950400590896606,0.014950400590896607
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,dao,4,2.93068790435791,200,14.65343952178955,0.014653439521789552
screen,3,bf16,256,64,True,"[64, 256]",0.0625,eager,dao,5,2.933759927749634,200,14.668799638748169,0.014668799638748169
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread32,1,1.4161920547485352,1280,1.106400042772293,0.001106400042772293
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread32,2,1.4141440391540527,1280,1.1048000305891037,0.0011048000305891037
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread32,3,1.4141440391540527,1280,1.1048000305891037,0.0011048000305891037
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread32,4,1.4131200313568115,1280,1.104000024497509,0.001104000024497509
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread32,5,1.4131200313568115,1280,1.104000024497509,0.001104000024497509
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread64,1,1.4151040315628052,1280,1.1055500246584415,0.0011055500246584416
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread64,2,1.415168046951294,1280,1.1056000366806984,0.0011056000366806984
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread64,3,1.415168046951294,1280,1.1056000366806984,0.0011056000366806984
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread64,4,1.4141440391540527,1280,1.1048000305891037,0.0011048000305891037
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread64,5,1.4151359796524048,1280,1.1055749841034412,0.0011055749841034413
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread128,1,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread128,2,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread128,3,1.401792049407959,1280,1.095150038599968,0.0010951500385999679
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread128,4,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
screen,3,bf16,256,1,True,"[1, 256]",0.0625,graph,thread128,5,1.4018559455871582,1280,1.0951999574899673,0.0010951999574899673
