dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,kernel_ms
fp16,1,17,1,64,17,shuffle32_split,3,6,100,34.7787427902,7140,0.205297817781,2176,2909,true,1,0.0347787427902
fp16,1,17,1,64,17,baseline_fused,3,7,100,65.7229709625,2788,0.0424204803765,2176,2909,true,1,0.0657229709625
fp16,1,17,1,64,17,control_optimized_fused,3,8,100,58.9046859741,2788,0.0473306996531,2176,2909,true,1,0.0589046859741
fp16,1,17,1,64,17,optimized_fused,3,9,100,28.99954319,2788,0.0961394454296,2176,2909,true,1,0.02899954319
fp16,1,17,1,64,17,control_shuffle32_fused,3,10,100,89.073600769,2788,0.0312999584156,2176,2909,true,1,0.089073600769
fp16,1,17,1,64,17,shuffle32_fused,3,11,100,29.5682263374,2788,0.094290403766,2176,2909,true,1,0.0295682263374
fp16,1,17,1,64,17,baseline_transform,3,12,100,9.22537088394,4352,0.471742551573,2176,2909,true,1,0.00922537088394
fp16,1,17,1,64,17,control_optimized_transform,3,13,100,9.3364572525,4352,0.466129698054,2176,2909,true,1,0.0093364572525
fp16,1,17,1,64,17,optimized_transform,3,14,100,9.36297118664,4352,0.464809718331,2176,2909,true,1,0.00936297118664
fp16,1,17,1,64,17,shuffle32_transform,4,0,100,8.07748556137,4352,0.538781526372,2176,2909,true,1,0.00807748556137
fp16,1,17,1,64,17,baseline_split,4,1,100,70.3357696533,7140,0.101513071303,2176,2909,true,1,0.0703357696533
fp16,1,17,1,64,17,control_optimized_split,4,2,100,64.4157743454,7140,0.110842415116,2176,2909,true,1,0.0644157743454
fp16,1,17,1,64,17,optimized_split,4,3,100,34.2507433891,7140,0.208462628647,2176,2909,true,1,0.0342507433891
fp16,1,17,1,64,17,control_shuffle32_split,4,4,100,93.8306236267,7140,0.0760945597932,2176,2909,true,1,0.0938306236267
fp16,1,17,1,64,17,shuffle32_split,4,5,100,34.702398777,7140,0.205749465502,2176,2909,true,1,0.034702398777
fp16,1,17,1,64,17,baseline_fused,4,6,100,65.7263994217,2788,0.0424182676144,2176,2909,true,1,0.0657263994217
