run_index,dtype,dim,rows,normalized,shape,scale,mode,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms,validation_revision
1,bf16,256,16,True,"[16, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.8821120262145996,1280,1.470400020480156,0.001470400020480156,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,original,1,2.0060160160064697,1280,1.5672000125050545,0.0015672000125050544,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,original,2,2.002943992614746,1280,1.5647999942302704,0.0015647999942302703,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,original,3,2.002943992614746,1280,1.5647999942302704,0.0015647999942302703,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,original,4,2.002943992614746,1280,1.5647999942302704,0.0015647999942302703,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,original,5,2.002943992614746,1280,1.5647999942302704,0.0015647999942302703,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,1.903615951538086,1280,1.4871999621391296,0.0014871999621391297,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,1.901568055152893,1280,1.4856000430881977,0.0014856000430881976,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,1.901568055152893,1280,1.4856000430881977,0.0014856000430881976,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,1.901568055152893,1280,1.4856000430881977,0.0014856000430881976,2
1,fp16,256,18,True,"[18, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,1.901568055152893,1280,1.4856000430881977,0.0014856000430881976,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,original,1,4.306879997253418,1280,3.364749997854233,0.0033647499978542326,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,original,2,4.30079984664917,1280,3.359999880194664,0.003359999880194664,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,original,3,4.299776077270508,1280,3.3592000603675842,0.0033592000603675843,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,original,4,4.30079984664917,1280,3.359999880194664,0.003359999880194664,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,original,5,4.30079984664917,1280,3.359999880194664,0.003359999880194664,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,3.8840320110321045,1280,3.0344000086188316,0.003034400008618832,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,3.875839948654175,1280,3.027999959886074,0.0030279999598860742,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,3.8799359798431396,1280,3.031199984252453,0.003031199984252453,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,3.8830080032348633,1280,3.033600002527237,0.003033600002527237,2
1,bf16,256,4095,False,"[4095, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,3.8748159408569336,1280,3.0271999537944794,0.0030271999537944795,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,original,1,4.276224136352539,1280,3.340800106525421,0.003340800106525421,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,original,2,4.279295921325684,1280,3.3431999385356903,0.0033431999385356904,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,original,3,4.283391952514648,1280,3.346399962902069,0.003346399962902069,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,original,4,4.277247905731201,1280,3.341599926352501,0.003341599926352501,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,original,5,4.282271862030029,1280,3.3455248922109604,0.0033455248922109604,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,contiguous256,1,3.875839948654175,1280,3.027999959886074,0.0030279999598860742,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,contiguous256,2,3.8686718940734863,1280,3.022399917244911,0.0030223999172449114,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,contiguous256,3,3.87174391746521,1280,3.0247999355196953,0.0030247999355196955,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,contiguous256,4,3.8748159408569336,1280,3.0271999537944794,0.0030271999537944795,2
1,bf16,256,4097,True,"[4097, 256]",0.0625,fused_int4,cuda_graph,contiguous256,5,3.8707199096679688,1280,3.0239999294281006,0.0030239999294281008,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,original,1,2.0930559635162354,1280,1.6351999714970589,0.001635199971497059,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,original,2,2.0930559635162354,1280,1.6351999714970589,0.001635199971497059,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,original,3,2.091007947921753,1280,1.6335999593138695,0.0016335999593138696,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,original,4,2.092031955718994,1280,1.6343999654054642,0.0016343999654054643,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,original,5,2.091007947921753,1280,1.6335999593138695,0.0016335999593138696,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,1.9875839948654175,1280,1.5527999959886074,0.0015527999959886074,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.9854719638824463,1280,1.5511499717831612,0.0015511499717831613,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.985535979270935,1280,1.551199983805418,0.001551199983805418,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.9845119714736938,1280,1.5503999777138233,0.0015503999777138234,2
1,fp16,256,258,False,"[258, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.9845119714736938,1280,1.5503999777138233,0.0015503999777138234,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,original,1,2.0305919647216797,1280,1.5863999724388123,0.0015863999724388123,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,original,2,2.027519941329956,1280,1.5839999541640282,0.0015839999541640282,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,original,3,2.027519941329956,1280,1.5839999541640282,0.0015839999541640282,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,original,4,2.026495933532715,1280,1.5831999480724335,0.0015831999480724335,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,original,5,2.0499520301818848,1280,1.6015250235795975,0.0016015250235795974,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,contiguous256,1,1.9220479726791382,1280,1.5015999786555767,0.0015015999786555767,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,contiguous256,2,1.9240959882736206,1280,1.503199990838766,0.001503199990838766,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,contiguous256,3,1.9220479726791382,1280,1.5015999786555767,0.0015015999786555767,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,contiguous256,4,1.9230719804763794,1280,1.5023999847471714,0.0015023999847471714,2
1,fp16,256,63,False,"[63, 256]",1.0,fused_int4,cuda_graph,contiguous256,5,1.9353599548339844,1280,1.5119999647140503,0.0015119999647140504,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,original,1,11.782143592834473,1280,9.204799681901932,0.009204799681901932,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,original,2,11.792384147644043,1280,9.212800115346909,0.00921280011534691,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,original,3,11.795455932617188,1280,9.215199947357178,0.009215199947357177,2
1,bf16,256,16385,True,"[16385, 256]",0.0625,fused_int4,cuda_graph,original,4,11.802623748779297,1280,9.220799803733826,0.009220799803733826,2
