run,rows,scale,warmup_replays,method,group,event_ms,per_call_ms
2,16383,1.0,5,original,0,19.45292854309082,0.015197600424289703
2,16383,1.0,5,original,1,20.540416717529297,0.016047200560569762
2,16383,1.0,5,original,2,20.739072799682617,0.016202400624752044
2,16383,1.0,5,original,3,20.842496871948242,0.016283200681209566
2,16383,1.0,5,original,4,20.84556770324707,0.016285599768161775
2,16383,1.0,5,contiguous256,0,18.557952880859375,0.014498400688171386
2,16383,1.0,5,contiguous256,1,18.880512237548828,0.014750400185585022
2,16383,1.0,5,contiguous256,2,19.198976516723633,0.014999200403690339
2,16383,1.0,5,contiguous256,3,19.20204734802246,0.015001599490642548
2,16383,1.0,5,contiguous256,4,19.21331214904785,0.015010400116443634
2,16385,1.0,256,original,0,21.016576766967773,0.01641920059919357
2,16385,1.0,256,original,1,21.016576766967773,0.01641920059919357
2,16385,1.0,256,original,2,20.853759765625,0.016291999816894533
2,16385,1.0,256,original,3,20.84966468811035,0.01628880053758621
2,16385,1.0,256,original,4,20.84454345703125,0.016284799575805663
2,16385,1.0,256,contiguous256,0,19.385343551635742,0.015144799649715424
2,16385,1.0,256,contiguous256,1,19.300352096557617,0.015078400075435639
2,16385,1.0,256,contiguous256,2,19.22150421142578,0.015016800165176392
2,16385,1.0,256,contiguous256,3,19.21023941040039,0.015007999539375306
2,16385,1.0,256,contiguous256,4,19.21945571899414,0.015015199780464172
2,16383,0.0625,256,original,0,20.709375381469727,0.016179199516773223
2,16383,0.0625,256,original,1,20.87321662902832,0.016307200491428375
2,16383,0.0625,256,original,2,20.806655883789062,0.016255199909210205
2,16383,0.0625,256,original,3,20.739072799682617,0.016202400624752044
2,16383,0.0625,256,original,4,20.817920684814453,0.016264000535011293
2,16383,0.0625,256,contiguous256,0,19.23686408996582,0.015028800070285796
2,16383,0.0625,256,contiguous256,1,19.22764778137207,0.01502159982919693
2,16383,0.0625,256,contiguous256,2,19.311616897583008,0.015087200701236725
2,16383,0.0625,256,contiguous256,3,19.23276710510254,0.015025599300861359
2,16383,0.0625,256,contiguous256,4,19.384319305419922,0.015143999457359314
2,16385,0.0625,5,original,0,19.911680221557617,0.015556000173091888
2,16385,0.0625,5,original,1,20.684799194335938,0.01615999937057495
2,16385,0.0625,5,original,2,20.709375381469727,0.016179199516773223
2,16385,0.0625,5,original,3,20.709375381469727,0.016179199516773223
2,16385,0.0625,5,original,4,20.84761619567871,0.016287200152873993
2,16385,0.0625,5,contiguous256,0,18.02035140991211,0.014078399538993836
2,16385,0.0625,5,contiguous256,1,19.296255111694336,0.0150751993060112
2,16385,0.0625,5,contiguous256,2,19.196928024291992,0.01499760001897812
2,16385,0.0625,5,contiguous256,3,19.07916831970215,0.014905600249767304
2,16385,0.0625,5,contiguous256,4,19.223552703857422,0.015018400549888612
2,16383,1.0,256,original,0,20.496383666992188,0.016012799739837647
2,16383,1.0,256,original,1,20.741119384765625,0.016203999519348145
2,16383,1.0,256,original,2,20.741119384765625,0.016203999519348145
2,16383,1.0,256,original,3,20.86502456665039,0.016300800442695617
2,16383,1.0,256,original,4,20.940799713134766,0.016359999775886536
2,16383,1.0,256,contiguous256,0,19.06483268737793,0.014894400537014008
2,16383,1.0,256,contiguous256,1,19.0883846282959,0.01491280049085617
2,16383,1.0,256,contiguous256,2,19.093503952026367,0.0149167999625206
2,16383,1.0,256,contiguous256,3,19.086336135864258,0.01491120010614395
2,16383,1.0,256,contiguous256,4,19.395584106445312,0.0151528000831604
3,16385,1.0,5,original,0,24.8985595703125,0.019451999664306642
3,16385,1.0,5,original,1,23.49875259399414,0.01835840046405792
3,16385,1.0,5,original,2,21.24492835998535,0.016597600281238557
3,16385,1.0,5,original,3,20.573183059692383,0.016072799265384675
3,16385,1.0,5,original,4,20.86297607421875,0.0162992000579834
3,16385,1.0,5,contiguous256,0,23.06559944152832,0.018019999563694
3,16385,1.0,5,contiguous256,1,23.05638313293457,0.018012799322605133
3,16385,1.0,5,contiguous256,2,19.335168838500977,0.015105600655078887
3,16385,1.0,5,contiguous256,3,19.190784454345703,0.014992800354957581
