mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard_int4,8,256,fp16,1.0,True,1,0.0020824000239372253,0.002067199908196926,0.0017295999452471734,0.002067199908196926,16.33126828281536
hadamard_int4,4,16,fp16,1.0,True,1,0.0019207999110221862,0.0019376000389456749,0.0015839999541640282,0.0019207999110221862,17.53435924926321
hadamard,1,4097,fp16,1.0,True,1,0.002330400049686432,0.0019751999527215956,0.0014976000413298607,0.0019751999527215956,24.17982598337236
hadamard,4,16384,bf16,1.0,True,1,0.004638399928808212,0.0032928001135587694,0.001780799962580204,0.0032928001135587694,45.9183703484642
hadamard,1,4096,bf16,1.0,True,1,0.0023264000192284584,0.0019880000501871107,0.0015200000256299973,0.0019880000501871107,23.541248125877335
hadamard,16,4096,bf16,1.0,True,1,0.0024008000269532203,0.0020640000700950624,0.001833599992096424,0.0020640000700950624,11.162794097580942
hadamard,256,17,fp16,1.0,False,1,0.001727999933063984,0.0019336000084877014,0.0017271999269723893,0.001727999933063984,0.04629665061248733
hadamard_int4,8,4096,fp16,1.0,True,1,0.0031176000833511353,0.0028783999383449554,0.0019672000780701637,0.0028783999383449554,31.656471643711903
hadamard_int4,1,4096,bf16,1.0,True,1,0.0029487999156117438,0.0027504000812768937,0.0016256000846624375,0.0027504000812768937,40.895868360077245
hadamard_int4,8,16384,bf16,1.0,True,1,0.006312800198793411,0.006080799922347069,0.0025064000859856606,0.006080799922347069,58.78173730441964
hadamard_int4,1,16384,fp16,1.0,True,1,0.005860799923539162,0.005429600179195404,0.0016976000741124153,0.005429600179195404,68.73434473836382
hadamard,16,4097,bf16,1.0,True,1,0.0023976000025868415,0.002062400057911873,0.00183119997382164,0.002062400057911873,11.21024425902688
hadamard_int4,4,16,bf16,1.0,True,1,0.0019511999562382698,0.0019807999953627585,0.0015375999733805656,0.0019511999562382698,21.19721156898169
hadamard_int4,8,257,bf16,1.0,True,1,0.00208320003002882,0.0020840000361204147,0.001895200088620186,0.00208320003002882,9.024574630312065
hadamard,8,4097,fp16,1.0,True,1,0.0023663999512791634,0.0020239999517798423,0.0017343999817967415,0.0020239999517798423,14.30829925309216
hadamard,8,4096,bf16,1.0,True,1,0.00236239992082119,0.0020287999883294105,0.001740800030529499,0.0020287999883294105,14.195581597822338
hadamard,1,16384,fp16,1.0,True,1,0.004612800106406212,0.0032047998160123826,0.0015672000125050544,0.0032047998160123826,51.09834927365089
hadamard,2,4097,bf16,1.0,True,2,0.0029904000461101533,0.0025623999536037445,0.001976799964904785,0.0025623999536037445,22.85357474641595
hadamard_int4,4,16384,bf16,1.0,True,2,0.006290400028228759,0.005996000021696091,0.002112000063061714,0.005996000021696091,64.7765167541762
hadamard_int4,1,2,fp16,1.0,True,2,0.001746400073170662,0.0017335999757051468,0.0016232000663876534,0.0017335999757051468,6.3682458966687445
hadamard,16,4096,bf16,1.0,True,2,0.002401600033044815,0.002065600082278252,0.0018360000103712082,0.002065600082278252,11.11541744584974
hadamard,2,4097,fp16,1.0,True,2,0.002335200086236,0.0019943999126553536,0.0015424000099301337,0.0019943999126553536,22.663453796657308
hadamard,4,4096,fp16,1.0,True,2,0.0023336000740528107,0.0019967999309301377,0.0016103999689221383,0.0019967999309301377,19.350960305172325
hadamard_int4,1,1,fp16,1.0,True,2,0.0017472000792622567,0.0017376000061631203,0.001627199910581112,0.0017376000061631203,6.35359663849151
hadamard_int4,2,16384,fp16,1.0,True,2,0.006362400203943253,0.005927199870347977,0.001982400007545948,0.005927199870347977,66.55418999006078
hadamard_int4,1,1,bf16,1.0,True,2,0.0017456000670790673,0.0017327999696135521,0.0016224000602960587,0.0017327999696135521,6.371186014166119
hadamard_int4,8,16384,bf16,1.0,True,2,0.006326399743556976,0.00607759989798069,0.0025143999606370925,0.00607759989798069,58.62840590292044
hadamard,4,16384,bf16,1.0,True,2,0.004652800038456917,0.0033008001744747164,0.001783199980854988,0.0033008001744747164,45.976736348822946
hadamard_int4,4,17,bf16,1.0,True,2,0.0019271999597549438,0.0019600000232458115,0.0017864000052213668,0.0019271999597549438,7.305933866430792
hadamard_int4,2,2,fp16,1.0,True,2,0.001799199916422367,0.0017920000478625297,0.0016704000532627105,0.0017920000478625297,6.785713803125271
hadamard,8,4097,fp16,1.0,True,2,0.0023687999695539475,0.0020239999517798423,0.001746400073170662,0.0020239999517798423,13.715409348951212
hadamard_int4,1,16384,fp16,1.0,True,2,0.005835999920964241,0.0054744001477956775,0.0017136000096797943,0.0054744001477956775,68.69794016848051
hadamard_int4,16,4096,fp16,1.0,False,2,0.0031488001346588134,0.002876799926161766,0.003144000098109245,0.0031488001346588134,0.15244017861706372
hadamard_int4,64,65,bf16,1.0,False,2,0.0019463999196887016,0.0019392000511288642,0.0019447999075055122,0.0019463999196887016,0.08220367083889846
hadamard,2,16384,bf16,1.0,True,2,0.004653599858283996,0.0032976001501083376,0.0017176000401377678,0.0032976001501083376,47.91363531199079
hadamard,16,4097,bf16,1.0,True,2,0.0023943999782204627,0.0020560000091791155,0.0018319999799132347,0.0020560000091791155,10.894943009037995
hadamard_int4,4,4096,bf16,1.0,True,2,0.0030664000660181046,0.002858399972319603,0.0019864000380039213,0.002858399972319603,30.50657510355522
hadamard_int4,4,16384,fp16,1.0,True,2,0.006224000081419945,0.005969600006937981,0.002086400054395199,0.005969600006937981,65.0495836911963
hadamard_int4,1,4096,fp16,1.0,True,2,0.002920000068843365,0.002759999968111515,0.0016168000176548958,0.002759999968111515,41.42028853858412
hadamard,2,4096,bf16,1.0,True,2,0.0023336000740528107,0.0019951999187469483,0.0015399999916553496,0.0019951999187469483,22.814752687915064
hadamard_int4,16,65,fp16,1.0,False,2,0.0020616000518202783,0.0020312000066041946,0.0020640000700950624,0.0020616000518202783,-0.11641531890071999
hadamard,1,16384,bf16,1.0,True,2,0.004612800106406212,0.0032152000814676283,0.0015688000246882438,0.0032152000814676283,51.20676832117581
hadamard_int4,2,4096,fp16,1.0,True,2,0.0031144000589847566,0.0029047999531030657,0.0018343999981880188,0.0029047999531030657,36.8493518382079
hadamard,8,16384,fp16,1.0,True,2,0.004686399921774864,0.0033904001116752624,0.0020207999274134635,0.0033904001116752624,40.396417506754176
hadamard,16,4096,fp16,1.0,True,2,0.002406400069594383,0.0020584000274538996,0.0018352000042796135,0.0020584000274538996,10.843374475192224
hadamard_int4,2,2,bf16,1.0,True,2,0.0018696000799536705,0.0018600000068545342,0.0017376000061631203,0.0018600000068545342,6.580645174211897
hadamard,16,4097,fp16,1.0,True,2,0.0024056000635027885,0.0020592000335454943,0.0018360000103712082,0.0020592000335454943,10.83916178798735
hadamard,32,17,fp16,1.0,False,2,0.00157919991761446,0.0015783999115228653,0.0015799999237060547,0.00157919991761446,-0.05065894967897222
hadamard_int4,4,16,bf16,1.0,True,2,0.001923999935388565,0.001940000057220459,0.0015823999419808388,0.001923999935388565,17.754678008278514
hadamard,256,17,fp16,1.0,False,2,0.0017559999600052834,0.001940000057220459,0.0017583999782800675,0.0017559999600052834,-0.13667530349925627
hadamard,1,16384,fp16,1.0,True,2,0.004631200060248375,0.003202399984002113,0.0015720000490546226,0.003202399984002113,50.911814360863886
hadamard,16,16384,fp16,1.0,True,2,0.004735999926924706,0.0035064000636339187,0.0025064000859856606,0.0035064000636339187,28.519277877604498
hadamard,256,17,bf16,1.0,False,2,0.0017575999721884728,0.0019432000815868377,0.0017575999721884728,0.0017575999721884728,0.0
hadamard_int4,4,16,fp16,1.0,True,2,0.001945599913597107,0.001964000053703785,0.0015448000282049178,0.001945599913597107,20.600323971600787
hadamard_int4,8,16384,fp16,1.0,True,2,0.006260000169277191,0.006057599931955338,0.0023951999843120574,0.006057599931955338,60.45958777045038
hadamard,1,4096,fp16,1.0,True,2,0.002327200025320053,0.0019759999588131903,0.0015015999786555767,0.0019759999588131903,24.008096662235968
hadamard,2,16384,fp16,1.0,True,2,0.004659200087189674,0.0032823998481035233,0.001727999933063984,0.0032823998481035233,47.35559307125935
