run,dtype,rows,scale,method,group,event_ms,per_call_us,per_call_ms
1,bf16,256,0.0625,contiguous256,0,4.035583972930908,3.152799978852272,0.003152799978852272
1,bf16,256,0.0625,contiguous256,1,4.033535957336426,3.1511999666690826,0.003151199966669083
1,bf16,256,0.0625,contiguous256,2,4.033535957336426,3.1511999666690826,0.003151199966669083
1,bf16,256,0.0625,contiguous256,3,4.034560203552246,3.1520001590251923,0.003152000159025192
1,bf16,256,0.0625,contiguous256,4,4.033535957336426,3.1511999666690826,0.003151199966669083
1,bf16,16383,0.0625,original,0,25.190399169921875,19.679999351501465,0.019679999351501463
1,bf16,16383,0.0625,original,1,25.168895721435547,19.66319978237152,0.01966319978237152
1,bf16,16383,0.0625,original,2,25.171968460083008,19.66560035943985,0.01966560035943985
1,bf16,16383,0.0625,original,3,25.154560089111328,19.652000069618225,0.019652000069618224
1,bf16,16383,0.0625,original,4,22.749183654785156,17.772799730300903,0.017772799730300902
1,bf16,16383,0.0625,contiguous256,0,23.201791763305664,18.12639981508255,0.01812639981508255
1,bf16,16383,0.0625,contiguous256,1,23.183359146118164,18.111999332904816,0.018111999332904815
1,bf16,16383,0.0625,contiguous256,2,23.186431884765625,18.114399909973145,0.018114399909973145
1,bf16,16383,0.0625,contiguous256,3,23.179264068603516,18.108800053596497,0.018108800053596497
1,bf16,16383,0.0625,contiguous256,4,19.774463653564453,15.448799729347229,0.01544879972934723
1,fp16,4095,0.0625,original,0,7.221248149871826,5.641600117087364,0.005641600117087364
1,fp16,4095,0.0625,original,1,7.222271919250488,5.642399936914444,0.005642399936914444
1,fp16,4095,0.0625,original,2,7.222271919250488,5.642399936914444,0.005642399936914444
1,fp16,4095,0.0625,original,3,7.224319934844971,5.643999949097633,0.005643999949097633
1,fp16,4095,0.0625,original,4,7.223296165466309,5.643200129270554,0.005643200129270554
1,fp16,4095,0.0625,contiguous256,0,6.673408031463623,5.2136000245809555,0.005213600024580956
1,fp16,4095,0.0625,contiguous256,1,6.6754560470581055,5.215200036764145,0.005215200036764145
1,fp16,4095,0.0625,contiguous256,2,6.668288230895996,5.209600180387497,0.005209600180387497
1,fp16,4095,0.0625,contiguous256,3,6.671360015869141,5.212000012397766,0.0052120000123977665
1,fp16,4095,0.0625,contiguous256,4,6.672383785247803,5.212799832224846,0.005212799832224846
1,fp16,4097,0.0625,original,0,7.211008071899414,5.633600056171417,0.005633600056171417
1,fp16,4097,0.0625,original,1,7.211008071899414,5.633600056171417,0.005633600056171417
1,fp16,4097,0.0625,original,2,7.215104103088379,5.636800080537796,0.005636800080537796
1,fp16,4097,0.0625,original,3,7.207935810089111,5.631199851632118,0.005631199851632118
1,fp16,4097,0.0625,original,4,7.207935810089111,5.631199851632118,0.005631199851632118
1,fp16,4097,0.0625,contiguous256,0,6.651904106140137,5.196800082921982,0.0051968000829219815
1,fp16,4097,0.0625,contiguous256,1,6.649856090545654,5.195200070738792,0.005195200070738792
1,fp16,4097,0.0625,contiguous256,2,6.647808074951172,5.193600058555603,0.005193600058555603
1,fp16,4097,0.0625,contiguous256,3,6.646783828735352,5.192799866199493,0.005192799866199494
1,fp16,4097,0.0625,contiguous256,4,6.650879859924316,5.195999890565872,0.0051959998905658725
1,fp16,255,1.0,original,0,3.279871940612793,2.5623999536037445,0.0025623999536037445
1,fp16,255,1.0,original,1,3.2788479328155518,2.56159994751215,0.00256159994751215
1,fp16,255,1.0,original,2,3.280895948410034,2.563199959695339,0.002563199959695339
1,fp16,255,1.0,original,3,3.2778239250183105,2.560799941420555,0.002560799941420555
1,fp16,255,1.0,original,4,3.2788479328155518,2.56159994751215,0.00256159994751215
1,fp16,255,1.0,contiguous256,0,3.111936092376709,2.431200072169304,0.002431200072169304
1,fp16,255,1.0,contiguous256,1,3.106816053390503,2.4272000417113304,0.0024272000417113306
1,fp16,255,1.0,contiguous256,2,3.107840061187744,2.428000047802925,0.0024280000478029253
1,fp16,255,1.0,contiguous256,3,3.106816053390503,2.4272000417113304,0.0024272000417113306
1,fp16,255,1.0,contiguous256,4,3.106816053390503,2.4272000417113304,0.0024272000417113306
1,fp16,3,0.0625,original,0,2.945024013519287,2.300800010561943,0.0023008000105619432
1,fp16,3,0.0625,original,1,2.9419519901275635,2.298399992287159,0.002298399992287159
1,fp16,3,0.0625,original,2,2.9419519901275635,2.298399992287159,0.002298399992287159
1,fp16,3,0.0625,original,3,2.945024013519287,2.300800010561943,0.0023008000105619432
1,fp16,3,0.0625,original,4,2.9460480213165283,2.3016000166535378,0.002301600016653538
1,fp16,3,0.0625,contiguous256,0,2.781183958053589,2.1727999672293663,0.0021727999672293665
1,fp16,3,0.0625,contiguous256,1,2.7832319736480713,2.1743999794125557,0.002174399979412556
1,fp16,3,0.0625,contiguous256,2,2.7801599502563477,2.1719999611377716,0.0021719999611377718
1,fp16,3,0.0625,contiguous256,3,2.78220796585083,2.173599973320961,0.002173599973320961
1,fp16,3,0.0625,contiguous256,4,2.781183958053589,2.1727999672293663,0.0021727999672293665
