dtype,dim,rows,normalized,mode,original_target,run1_baseline128_us,run1_candidate256_us,run1_time_reduction_percent,run1_dao_us,run1_dao_over_candidate,run2_baseline128_us,run2_candidate256_us,run2_time_reduction_percent,run2_dao_us,run2_dao_over_candidate,run3_baseline128_us,run3_candidate256_us,run3_time_reduction_percent,run3_dao_us,run3_dao_over_candidate,min_time_reduction_percent,max_time_reduction_percent,stable_at_least_5_percent,any_run_regression_over_3_percent,every_run_regression_over_3_percent
bf16,64,16383,True,transform,False,3.3103249967098236,2.9368000105023384,11.283634887170802,9.492675215005875,3.2323192526079283,3.309600055217743,2.935199998319149,11.312546853156302,9.492799639701843,3.234123618539767,3.3112000674009323,2.937600016593933,11.282919884096588,9.495999664068222,3.2325706734841915,11.282919884096588,11.312546853156302,True,False,False
bf16,64,16384,False,transform,True,3.072799928486347,2.7375999838113785,10.908616000915073,8.701600134372711,3.1785506231111427,3.3087998628616333,2.9335999861359596,11.339455158257294,9.491200000047684,3.2353422569207115,3.3103998750448227,2.9360000044107437,11.30980802218069,9.493599832057953,3.2335149243173524,10.908616000915073,11.339455158257294,True,False,False
bf16,64,16384,True,transform,True,3.0671000480651855,2.7375999838113785,10.743049104696311,8.671999722719193,3.16773808226202,3.0640000477433205,2.736799977719784,10.678853293900048,8.669599890708923,3.1677871825810824,3.3112000674009323,2.938400022685528,11.258759275395501,9.495200216770172,3.2314185078490802,10.678853293900048,11.258759275395501,True,False,False
bf16,64,16385,False,transform,False,3.0719999223947525,2.733599953353405,11.015624270509438,8.675999939441681,3.173836730864193,3.070399910211563,2.736799977719784,10.865031990858576,8.67839977145195,3.1710025731155267,3.071199916303158,2.7400000020861626,10.78405584927421,8.6776003241539,3.1670074151631415,10.78405584927421,11.015624270509438,True,False,False
bf16,64,16385,True,transform,False,3.0592000111937523,2.7448000386357307,10.277195718083743,8.671999722719193,3.1594285924848293,3.056799992918968,2.7424000203609467,10.285264763357905,8.672749996185303,3.1624671571595964,3.0598750337958336,2.745475061237812,10.274928521116832,8.674400299787521,3.1595261680784024,10.274928521116832,10.285264763357905,True,False,False
fp16,16,4095,False,fused_int4,False,1.982400007545948,1.812800019979477,8.555285861627004,,,1.9816000014543533,1.812800019979477,8.518368053642977,,,1.9832000136375427,1.815200038254261,8.47115642537435,,,8.47115642537435,8.555285861627004,True,False,False
fp16,16,4095,False,transform,False,1.6983749344944954,1.4560000039637089,14.270990792909167,3.266400098800659,2.2434066551569014,1.6968000680208206,1.4560000039637089,14.191422348184213,3.261600062251091,2.2401099267664475,1.6992000862956047,1.4576000161468983,14.218459150117768,3.26480008661747,2.23984635733459,14.191422348184213,14.270990792909167,True,False,False
fp16,16,4095,True,fused_int4,False,1.9816000014543533,1.8055999651551247,8.881713573377937,,,1.9816000014543533,1.8063250929117203,8.845120529571748,,,1.982400007545948,1.808750070631504,8.759581126586491,,,8.759581126586491,8.881713573377937,True,False,False
fp16,16,4095,True,transform,False,1.7000000923871994,1.4599249698221684,14.12206526576767,3.2680001109838486,2.2384712766313735,1.7015999183058739,1.462399959564209,14.057356031129464,3.2655999064445496,2.233041573262686,1.7038999125361443,1.4639999717473984,14.079462004999488,3.2679248601198196,2.2321891551809907,14.057356031129464,14.12206526576767,True,False,False
fp16,16,4096,False,fused_int4,True,1.9807999953627586,1.8120000138878822,8.521808454667468,,,1.979999989271164,1.8136000260710716,8.404038590997365,,,1.982324942946434,1.815200038254261,8.430752248103502,,,8.404038590997365,8.521808454667468,True,False,False
fp16,16,4096,False,transform,True,1.6983749344944954,1.4558999799191952,14.276880190031216,3.2632000744342804,2.241362812997218,1.6976000741124153,1.4576000161468983,14.137608829394066,3.2600000500679016,2.236553247773397,1.6992000862956047,1.458400022238493,14.171377814726672,3.261600062251091,2.236423486366157,14.137608829394066,14.276880190031216,True,False,False
